score_quintile,rows,mean_score,mean_true_cate,exposure_rate,model
Q1 lowest,1000,-0.014764017129551145,0.04716329974781227,0.324,Linear interactions
Q2,1000,0.5561564105562221,0.49973755833863276,0.481,Linear interactions
Q3,1000,0.910110549708816,0.8292553320774992,0.575,Linear interactions
Q4,1000,1.2631696614586552,1.192165056414247,0.687,Linear interactions
Q5 highest,1000,1.8305900442750696,1.8398480397886812,0.807,Linear interactions
Q1 lowest,1000,0.280098984916124,0.09548696021536549,0.322,Causal forest
Q2,1000,0.577232772927719,0.4927831262972314,0.474,Causal forest
Q3,1000,0.8305625711143838,0.8160699215464605,0.577,Causal forest
Q4,1000,1.1739250310722906,1.2081848170277159,0.711,Causal forest
Q5 highest,1000,1.672826479844415,1.7956444612800992,0.79,Causal forest
