intent_bucket,quality_bucket,rows,mean_delta,median_delta
lowest intent,lowest quality,130,0.31962160343860735,0.31594063195649913
lowest intent,low-mid quality,55,0.39294371651279236,0.37545622236595944
lowest intent,high-mid quality,15,0.5449827748191506,0.5513144561567936
low-mid intent,lowest quality,47,0.3307137768248781,0.33455684839437244
low-mid intent,low-mid quality,80,0.35991926155739484,0.36861468439674416
low-mid intent,high-mid quality,63,0.48918711789279795,0.490938038321834
low-mid intent,highest quality,10,0.48224967036998506,0.48218511221490346
high-mid intent,lowest quality,17,0.44611956772728023,0.43286742988210397
high-mid intent,low-mid quality,48,0.36642752571400344,0.36096552431991663
high-mid intent,high-mid quality,68,0.45999989041332984,0.4569942843707785
high-mid intent,highest quality,67,0.46070822014909174,0.4419067056153261
highest intent,lowest quality,6,0.4260807362919312,0.39245613350185193
highest intent,low-mid quality,17,0.5428889409724091,0.5715536619752971
highest intent,high-mid quality,54,0.4934529396223382,0.4643419926110727
highest intent,highest quality,123,0.5577937718475453,0.5130057333770437
