cause,effect
baseline_need,proactive_guidance
baseline_need,future_engagement
prior_engagement,proactive_guidance
prior_engagement,future_engagement
account_tenure_z,proactive_guidance
account_tenure_z,future_engagement
friction_score,proactive_guidance
friction_score,future_engagement
region_risk,proactive_guidance
region_risk,future_engagement
high_need_segment,proactive_guidance
high_need_segment,future_engagement
baseline_need,activation_depth
prior_engagement,activation_depth
friction_score,activation_depth
region_risk,activation_depth
proactive_guidance,activation_depth
activation_depth,future_engagement
proactive_guidance,future_engagement
proactive_guidance,support_ticket
future_engagement,future_leakage_score
