treatment,observed_outcome,observed_y0,observed_y1,unobserved_counterfactual_label,true_cate
0,-2.4795612142212975,-2.4795612142212975,,Y(1) is missing,-0.3489812604466878
0,1.6532517960371125,1.6532517960371125,,Y(1) is missing,0.3268394158214686
1,-1.0815105203245414,,-1.0815105203245414,Y(0) is missing,-0.3303470717244291
1,0.8830068647143482,,0.8830068647143482,Y(0) is missing,0.6051825788817972
0,0.11197515419472936,0.11197515419472936,,Y(1) is missing,0.6722317549946326
1,1.2230569202493635,,1.2230569202493635,Y(0) is missing,0.21241821806541825
0,-0.09164048917849882,-0.09164048917849882,,Y(1) is missing,0.19113017478127073
1,1.5813354945526528,,1.5813354945526528,Y(0) is missing,0.684942309014493
1,-0.10729464592549665,,-0.10729464592549665,Y(0) is missing,0.6197252744207205
0,-0.9524601908833461,-0.9524601908833461,,Y(1) is missing,0.015724749523968518
