term,coefficient,standard_error
const,-0.0022281568915015204,0.02877535481175782
treatment,0.2854264208185378,0.04041487912269053
baseline_need,0.6565394503900115,0.02345615290325028
prior_engagement,0.34280571236351726,0.014240839181568574
account_tenure,-0.26035912622624385,0.010106567764258147
friction_score,-0.35277714654684555,0.014163046224137202
region_risk,-0.15529962511276502,0.020998837982085353
high_need_segment,-0.00971726892002786,0.04615476846786185
treatment_x_baseline_need,0.08403751464003324,0.033678505067891475
treatment_x_prior_engagement,0.26377593840501423,0.02024176043533657
treatment_x_friction_score,-0.35840245676752713,0.01999577967338197
treatment_x_high_need_segment,0.4524838985684452,0.06635874792012818
