econml_cate_decile,rows,estimated_cate,true_cate,treatment_rate,propensity_mean
1,105,-0.20616299456210882,-0.12298200346167416,0.3238095238095238,0.33946016732206824
2,105,0.06694184373434527,0.0941218244086969,0.3619047619047619,0.37667515796969236
3,105,0.21097249257941167,0.21967843765607928,0.3619047619047619,0.3863020656468145
4,105,0.3266788099690714,0.3247421768779466,0.49523809523809526,0.42506138433211477
5,105,0.45108367768882834,0.4408172948399033,0.41904761904761906,0.4378747623506777
6,105,0.5648831751194828,0.5531687190348754,0.5428571428571428,0.4977484535602646
7,105,0.7024218993851546,0.657530987579634,0.5333333333333333,0.5186466455480822
8,105,0.8299786609690231,0.785075892390453,0.5904761904761905,0.6235976601209299
9,105,1.0131502875300171,0.9571233026731746,0.5714285714285714,0.6208208977645219
10,105,1.328940164542224,1.2424395413051181,0.7428571428571429,0.7487097363187779
