term,true_cate_coefficient,is_true_driver,LinearDML,SparseLinearDML,LinearDML_abs_error,SparseLinearDML_abs_error,SparseLinearDML_practically_selected
cate_intercept,0.42,True,0.35766022827078414,0.36841349117858,0.06233977172921584,0.05158650882141996,True
baseline_need,0.3,True,0.0668318684878482,0.06453485505719253,0.2331681315121518,0.23546514494280746,True
prior_engagement,0.22,True,0.10067567311407077,0.0984617492112365,0.11932432688592923,0.1215382507887635,True
friction_score,-0.24,True,-0.25685396621239015,-0.25339408378062905,0.01685396621239016,0.013394083780629062,True
price_sensitivity,-0.18,True,-0.1616035829743547,-0.17006725586479365,0.01839641702564529,0.00993274413520634,True
content_affinity,0.16,True,0.17081801043471434,0.16839922641688915,0.010818010434714337,0.008399226416889144,True
region_risk,-0.12,True,-0.025804284937287685,-0.025420295317132725,0.0941957150627123,0.09457970468286728,False
high_need_segment,0.24,True,0.4970447534162184,0.48554551908508803,0.2570447534162184,0.24554551908508804,True
trust_score,0.0,False,0.024824475283052847,0.035191199246627586,0.024824475283052847,0.035191199246627586,True
recency_gap,0.0,False,-0.042965650440400426,-0.03905748722050953,0.042965650440400426,0.03905748722050953,True
noise_modifier_01,0.0,False,-0.05786582587588353,-0.06515157295171474,0.05786582587588353,0.06515157295171474,True
noise_modifier_02,0.0,False,0.021228919215595873,0.0273005855732715,0.021228919215595873,0.0273005855732715,False
noise_modifier_03,0.0,False,0.04894233135603294,0.02803777502284538,0.04894233135603294,0.02803777502284538,False
noise_modifier_04,0.0,False,-0.005917689992295422,0.004922155545069992,0.005917689992295422,0.004922155545069992,False
noise_modifier_05,0.0,False,-0.028121483925946038,-0.022230171830149865,0.028121483925946038,0.022230171830149865,False
noise_modifier_06,0.0,False,-0.0009219260269303038,0.0009492923133934583,0.0009219260269303038,0.0009492923133934583,False
noise_modifier_07,0.0,False,0.033736416982018715,0.03823543458820571,0.033736416982018715,0.03823543458820571,True
noise_modifier_08,0.0,False,-0.0031415511149869915,-0.002436961637836556,0.0031415511149869915,0.002436961637836556,False
noise_modifier_09,0.0,False,0.022266669081848472,0.017066794336232892,0.022266669081848472,0.017066794336232892,False
noise_modifier_10,0.0,False,-0.04386826597895497,-0.032660674901359814,0.04386826597895497,0.032660674901359814,True
noise_modifier_11,0.0,False,0.015503362088764109,0.02068393580740442,0.015503362088764109,0.02068393580740442,False
noise_modifier_12,0.0,False,-0.012016176616056877,-0.01416129594071132,0.012016176616056877,0.01416129594071132,False
