propensity_bucket,rows,treatment_rate,true_cate_mean
"(-0.001, 0.1]",157,0.06369426751592357,-0.08660801032623555
"(0.1, 0.2]",333,0.16216216216216217,0.08426317142219603
"(0.2, 0.3]",350,0.2342857142857143,0.258370717005253
"(0.3, 0.4]",412,0.3325242718446602,0.2985131266153368
"(0.4, 0.5]",386,0.47150259067357514,0.3945334273454095
"(0.5, 0.6]",358,0.5139664804469274,0.508029093767812
"(0.6, 0.7]",378,0.6322751322751323,0.5833880694114201
"(0.7, 0.8]",377,0.7453580901856764,0.704473001127438
"(0.8, 0.9]",293,0.8395904436860068,0.9101726308301739
"(0.9, 1.0]",156,0.9294871794871795,1.0356723705934636
