term,true_cate_coefficient,is_true_driver
cate_intercept,0.42,True
baseline_need,0.3,True
prior_engagement,0.22,True
friction_score,-0.24,True
price_sensitivity,-0.18,True
content_affinity,0.16,True
region_risk,-0.12,True
high_need_segment,0.24,True
trust_score,0.0,False
recency_gap,0.0,False
noise_modifier_01,0.0,False
noise_modifier_02,0.0,False
noise_modifier_03,0.0,False
noise_modifier_04,0.0,False
noise_modifier_05,0.0,False
noise_modifier_06,0.0,False
noise_modifier_07,0.0,False
noise_modifier_08,0.0,False
noise_modifier_09,0.0,False
noise_modifier_10,0.0,False
noise_modifier_11,0.0,False
noise_modifier_12,0.0,False
