cate_decile,rows,estimated_cate,true_cate,treatment_rate,propensity_mean,estimator
1,105,-0.422316176735001,-0.19127317950929335,0.44761904761904764,0.4518145398455542,LinearDML baseline
2,105,-0.16839220684072934,-0.021661899248423728,0.5523809523809524,0.497765327818715,LinearDML baseline
3,105,-0.01969094047050083,0.12518648096425064,0.5047619047619047,0.4690851703484584,LinearDML baseline
4,105,0.10486540392324452,0.20133338389418365,0.4666666666666667,0.45118925226188544,LinearDML baseline
5,105,0.2207022588457803,0.24092434375394264,0.4857142857142857,0.4605303805943251,LinearDML baseline
6,105,0.3452972419582458,0.3092289464259865,0.5428571428571428,0.5032533039703682,LinearDML baseline
7,105,0.47273897504492435,0.33150324147033544,0.44761904761904764,0.49621644491783345,LinearDML baseline
8,105,0.6045160679063084,0.4559783653264835,0.5333333333333333,0.5538913818082277,LinearDML baseline
9,105,0.7702322291739699,0.5104922096571384,0.4380952380952381,0.4927110631366351,LinearDML baseline
10,105,1.0837585813981307,0.6319155821688149,0.6,0.5913646444200014,LinearDML baseline
1,105,-0.105681544609957,-0.19907346678346405,0.47619047619047616,0.4680071466288196,CausalForestDML
2,105,0.011795410757403452,-0.06604241315682961,0.5523809523809524,0.5436902130957402,CausalForestDML
3,105,0.09817120117996349,0.11830033567017217,0.638095238095238,0.5280067891946164,CausalForestDML
4,105,0.16835153234909989,0.198077520921483,0.4380952380952381,0.4876858549964455,CausalForestDML
5,105,0.23450165056338346,0.28781065216255336,0.4857142857142857,0.49136006281123856,CausalForestDML
6,105,0.295571142997908,0.33618486229023115,0.47619047619047616,0.43535874861504587,CausalForestDML
7,105,0.3458569525228814,0.3562210537775184,0.4857142857142857,0.4826223969750717,CausalForestDML
8,105,0.4013889260267911,0.42691571573121184,0.5047619047619047,0.5353376250587525,CausalForestDML
9,105,0.4605771235045717,0.5120286687182607,0.5047619047619047,0.4920689098068985,CausalForestDML
10,105,0.5500697286425872,0.6232045455722817,0.45714285714285713,0.5036837619393751,CausalForestDML
