propensity_bucket,rows,treatment_rate,true_cate_mean,baseline_need_mean
"(-0.001, 0.1]",101,0.04950495049504951,0.0832436216516172,-1.7167124488041188
"(0.1, 0.2]",321,0.14018691588785046,0.1135365647725921,-1.130192089356442
"(0.2, 0.3]",337,0.2403560830860534,0.13432949940056194,-0.6620719244251654
"(0.3, 0.4]",366,0.34153005464480873,0.17168867448594735,-0.42869870831577417
"(0.4, 0.5]",390,0.4717948717948718,0.19990484928826507,-0.19000050261232085
"(0.5, 0.6]",386,0.5414507772020726,0.2751992556283874,0.05541989914501369
"(0.6, 0.7]",357,0.6862745098039216,0.3596217932932667,0.3715536549509327
"(0.7, 0.8]",302,0.7350993377483444,0.39482286956355667,0.6605962548042915
"(0.8, 0.9]",319,0.8589341692789969,0.48147575819131855,1.0809977552114851
"(0.9, 1.0]",121,0.9504132231404959,0.4983101344671854,1.6737904038200293
