forest_cate_bucket,width_bucket,rows,true_cate,forest_cate,forest_ci_width,propensity_mean
lowest,narrow,57,-0.11512116100097576,-0.009644636833080087,0.38095768305233446,0.47644670224916014
lowest,mid-narrow,59,-0.1119961261694682,-0.027874752649931844,0.49443187481279643,0.5091402409654058
lowest,mid-wide,74,-0.14360096900435657,-0.03583472712495734,0.6104417960178785,0.4832567745394389
lowest,wide,73,0.011384990713662616,-0.011423302604320024,0.8039089412922062,0.5482670528884661
low-mid,narrow,60,0.2215844165097112,0.19341534435733146,0.3695849986986667,0.4466546605262794
low-mid,mid-narrow,57,0.18928705197283943,0.18026524691104806,0.5021849651729959,0.512146396643882
low-mid,mid-wide,54,0.22982097274739421,0.18812216444424584,0.6214932537576099,0.5156396338422867
low-mid,wide,91,0.2425594675752364,0.18011983805520487,0.8037312284554252,0.5236413199628708
high-mid,narrow,70,0.3780420896542043,0.3390652480406133,0.37006076595034004,0.4726220248788398
high-mid,mid-narrow,69,0.3409158576717786,0.3284388313837404,0.4940808657663668,0.4406747499932987
high-mid,mid-wide,67,0.3845419801964088,0.33830007761270475,0.628704760202611,0.5161295762047579
high-mid,wide,56,0.31867551164051633,0.328441614980984,0.813736905306272,0.4331109940759809
highest,narrow,76,0.5483634112239253,0.4819814450712831,0.3659069541865145,0.5150967467677902
highest,mid-narrow,77,0.5618352248868863,0.49631247042557014,0.5005972036401036,0.5267022638938573
highest,mid-wide,67,0.5276095220648062,0.4765361362582088,0.6101517424126556,0.5105672782176836
highest,wide,43,0.5312838956179532,0.4972896091431134,0.7946903061885541,0.48642023189990974
