feature,econml_role,true_cate_driver,reason
baseline_need,X,True,Candidate effect modifier used by the causal forest CATE model.
prior_engagement,X,True,Candidate effect modifier used by the causal forest CATE model.
friction_score,X,True,Candidate effect modifier used by the causal forest CATE model.
novelty_affinity,X,True,Candidate effect modifier used by the causal forest CATE model.
price_sensitivity,X,True,Candidate effect modifier used by the causal forest CATE model.
content_depth,X,True,Candidate effect modifier used by the causal forest CATE model.
recency_gap,X,False,Candidate effect modifier used by the causal forest CATE model.
region_risk,X,True,Candidate effect modifier used by the causal forest CATE model.
high_need_segment,X,True,Candidate effect modifier used by the causal forest CATE model.
account_tenure,W,False,Adjustment control used by nuisance models.
seasonality_index,W,False,Adjustment control used by nuisance models.
device_stability,W,False,Adjustment control used by nuisance models.
traffic_intensity,W,False,Adjustment control used by nuisance models.
