cate_decile,rows,estimated_cate,true_cate,treatment_rate,propensity_mean,learner
1,345,-0.0008568916725214791,-0.042181328196576696,0.21739130434782608,0.18872811421118096,S-learner
2,103,0.002755154524605668,0.17040356901534617,0.2621359223300971,0.27767513057168886,S-learner
3,112,0.009543958266686458,0.19690698779636598,0.32142857142857145,0.31675050145878153,S-learner
4,112,0.022309092046825012,0.31406286933897987,0.33035714285714285,0.3464885068642662,S-learner
5,112,0.04341303945721527,0.3670926845726173,0.30357142857142855,0.32983701974194174,S-learner
6,112,0.08983653594201234,0.5228192956730294,0.375,0.37343737484772344,S-learner
7,112,0.1797887663262478,0.6933719714384913,0.44642857142857145,0.47449693772050194,S-learner
8,112,0.32109543706189675,0.8941231969294501,0.6875,0.6830820630076581,S-learner
1,112,-0.6433700630997211,-0.048119142485481284,0.22321428571428573,0.20749764113966687,T-learner
2,112,-0.2616443317096105,0.026359027785159677,0.24107142857142858,0.2269196952019588,T-learner
3,112,-0.04212855140144529,0.16628887129432887,0.2857142857142857,0.26514338146251243,T-learner
4,112,0.12112308450864771,0.20963060114797588,0.24107142857142858,0.3093839146348761,T-learner
5,112,0.28302851002903573,0.21375445211935198,0.36607142857142855,0.3437459502983375,T-learner
6,112,0.43473400136323354,0.2206202531152148,0.3125,0.30041030523509216,T-learner
7,112,0.6013531760677298,0.352047958508334,0.3482142857142857,0.33987951079506357,T-learner
8,112,0.8077795143018627,0.4957442285642939,0.36607142857142855,0.37786175641076253,T-learner
9,112,1.0161207984116407,0.630696910040152,0.45535714285714285,0.46610127136097923,T-learner
10,112,1.4418164836567857,0.7481307151306906,0.5357142857142857,0.5238609222064576,T-learner
1,112,-0.4304142298684136,-0.23703122030645932,0.1875,0.20866094000881544,X-learner
2,112,-0.17407106670233263,-0.07453204858031835,0.22321428571428573,0.17459281126936999,X-learner
3,112,-0.06343118120958911,0.030027429846859736,0.1875,0.21912478580936376,X-learner
4,112,0.05862352861641962,0.148203488866767,0.2857142857142857,0.22991499347711225,X-learner
5,112,0.21883409153050096,0.3028463142325674,0.3392857142857143,0.37276077924877316,X-learner
6,112,0.37122717069914385,0.3792567748744137,0.39285714285714285,0.41106554525727823,X-learner
7,112,0.4927470814187086,0.48624859606144805,0.45535714285714285,0.4385019135089146,X-learner
8,112,0.6178297071640103,0.4916187640828629,0.39285714285714285,0.3722070271807837,X-learner
9,112,0.7685708120712776,0.6649362131072445,0.5178571428571429,0.47325402774412983,X-learner
10,112,1.0524034138892417,0.8235795630346349,0.39285714285714285,0.4607215252411657,X-learner
