feature,mean_abs_cate_change,rmse_cate_change,learner,true_cate_driver
prior_engagement,0.05814357822872423,0.10204830292000955,S-learner,True
baseline_need,0.04827914133726086,0.09461956693598335,S-learner,True
content_affinity,0.038476528929816886,0.0727354889488877,S-learner,True
friction_score,0.015450725228799568,0.03635859722023311,S-learner,True
account_tenure,0.0052342746419571685,0.011829061766955659,S-learner,False
device_stability,0.003991092124185483,0.012492072497577077,S-learner,False
trust_score,0.0038364929617108767,0.008538770561951752,S-learner,False
seasonality_index,0.0037758013568664262,0.0088734743681949,S-learner,False
traffic_intensity,0.002385006264855715,0.005483998019805598,S-learner,False
recency_gap,0.0010519959467074295,0.0030555420632373573,S-learner,False
price_sensitivity,0.0008121622910199437,0.002164621614604329,S-learner,True
region_risk,0.0002677719452134906,0.0011920080074240293,S-learner,True
high_need_segment,3.240463453124676e-16,5.546454194757811e-16,S-learner,True
baseline_need,0.4552321421733572,0.5816820358751575,T-learner,True
content_affinity,0.41288160286623743,0.5585914407052335,T-learner,True
prior_engagement,0.29607570951702017,0.39992833199132427,T-learner,True
friction_score,0.1910850192474865,0.2762689223256227,T-learner,True
account_tenure,0.11826232403899932,0.18239019067794954,T-learner,False
trust_score,0.08342413795418113,0.1286461488102786,T-learner,False
seasonality_index,0.043022992302949654,0.06528865965387111,T-learner,False
device_stability,0.038783564203530824,0.062159137996403845,T-learner,False
traffic_intensity,0.027956180186214947,0.04362578622469443,T-learner,False
price_sensitivity,0.012671810187729888,0.020670802803349056,T-learner,True
recency_gap,0.012192912855213118,0.01872203092902052,T-learner,False
region_risk,0.003635201319150612,0.008216334642288029,T-learner,True
high_need_segment,0.0033036894310417082,0.007011917998306786,T-learner,True
content_affinity,0.3796112293918907,0.5063036857845515,X-learner,True
baseline_need,0.21642904300337543,0.3019104582825349,X-learner,True
friction_score,0.14818966989581872,0.21284887883771947,X-learner,True
prior_engagement,0.08179650264005991,0.12174994215692932,X-learner,True
account_tenure,0.06864439469615986,0.10637431270733719,X-learner,False
traffic_intensity,0.03819782851053209,0.06779020436255379,X-learner,False
trust_score,0.03655840940762837,0.06237171842875857,X-learner,False
seasonality_index,0.029442095888687105,0.0449673876689623,X-learner,False
device_stability,0.025123458734854685,0.038056919561353396,X-learner,False
high_need_segment,0.02374937706856242,0.05032073174814216,X-learner,True
price_sensitivity,0.021451133591557644,0.03077600514023176,X-learner,True
recency_gap,0.014721384342618838,0.02192738955937732,X-learner,False
region_risk,0.0037002694510026865,0.006997470436491638,X-learner,True
