budget_fraction,policy_score,true_policy_gain,average_true_net_cate_selected
0.05,LinearDML,0.03299344896485089,0.653643800247046
0.05,CausalForestDML,0.018857814963597404,0.3735982209769297
0.05,DRLearner,0.021133563172911284,0.4186837987086198
0.05,Oracle,0.041177619239913005,0.8157830226775217
0.05,Random expected,0.006493740853704238,0.12864958295074436
0.1,LinearDML,0.053806517574600796,0.538065175746008
0.1,CausalForestDML,0.03246372230487153,0.32463722304871534
0.1,DRLearner,0.03679834448903069,0.3679834448903069
0.1,Oracle,0.07232344243750216,0.7232344243750217
0.1,Random expected,0.0073874386742687394,0.0738743867426874
0.15000000000000002,LinearDML,0.07350788341265806,0.4885017568562719
0.15000000000000002,CausalForestDML,0.04511210542373384,0.2997956373096236
0.15000000000000002,DRLearner,0.05407124719072508,0.3593342376598818
0.15000000000000002,Oracle,0.0996399237388123,0.6621640501629931
0.15000000000000002,Random expected,0.013054620621381215,0.0867553902053815
0.2,LinearDML,0.09180095088277675,0.45900475441388366
0.2,CausalForestDML,0.0550016954469245,0.2750084772346225
0.2,DRLearner,0.06537415902494664,0.3268707951247332
0.2,Oracle,0.12226381921445267,0.6113190960722635
0.2,Random expected,0.011157389221658518,0.0557869461082926
0.25,LinearDML,0.10738611512514391,0.42872783605095477
0.25,CausalForestDML,0.07334590192639474,0.2928258441928307
0.25,DRLearner,0.07669410022687291,0.3061931758107094
0.25,Oracle,0.14134270752836528,0.5642959806265534
0.25,Random expected,0.009855062410327896,0.03934530620092886
0.3,LinearDML,0.11793932547017787,0.3931310849005929
0.3,CausalForestDML,0.08901215654757072,0.2967071884919024
0.3,DRLearner,0.08288946694989767,0.2762982231663256
0.3,Oracle,0.15706609241147135,0.5235536413715711
0.3,Random expected,0.023614547170819608,0.07871515723606537
0.35000000000000003,LinearDML,0.12710543672924046,0.36266496892853933
0.35000000000000003,CausalForestDML,0.10331478295376295,0.29478402744959536
0.35000000000000003,DRLearner,0.09050736445738891,0.25824112141374556
0.35000000000000003,Oracle,0.17048915632491976,0.48645003842708084
0.35000000000000003,Random expected,0.02411587691131318,0.06880888792630119
0.4,LinearDML,0.13564088813094669,0.3391022203273666
0.4,CausalForestDML,0.11391943611612053,0.28479859029030136
0.4,DRLearner,0.09403680632438502,0.2350920158109625
0.4,Oracle,0.18109343820325355,0.4527335955081339
0.4,Random expected,0.029936650621434326,0.07484162655358581
0.45,LinearDML,0.14411963768194022,0.319927314093102
0.45,CausalForestDML,0.12155418408949165,0.269834869543269
0.45,DRLearner,0.0992751210896455,0.22037817578039698
0.45,Oracle,0.18881537671087895,0.4191461850875748
0.45,Random expected,0.02753310640673889,0.06112000365132311
0.5,LinearDML,0.15089107957367529,0.3017821591473506
0.5,CausalForestDML,0.1308206479894384,0.26164129597887675
0.5,DRLearner,0.10805635255364457,0.21611270510728914
0.5,Oracle,0.19378894107715672,0.38757788215431344
0.5,Random expected,0.03763967970603275,0.0752793594120655
