policy,policy_type,treatment_rate,treated_rows,true_policy_gain_vs_treat_none,true_total_policy_value,average_true_net_cate_among_treated_by_policy,share_selected_with_negative_true_net_cate,regret_vs_oracle_threshold,regret_vs_oracle_top_20pct
treat_none,score-based,0.0,0,0.0,2.2780121649623424,0.0,0.0,0.1960180635318386,0.12226381921445267
treat_all,score-based,1.0,1050,0.06647075632746391,2.344482921289806,0.06647075632746391,0.4419047619047619,0.12954730720437468,0.055793062886988765
forest_threshold_positive,score-based,0.6533333333333333,686,0.14362296347455777,2.4216351284369,0.21983106654269052,0.2813411078717201,0.05239510005728082,-0.0213591442601051
forest_conservative_lower_positive,score-based,0.23047619047619047,242,0.07475982745917319,2.3527719924215154,0.32437115219889184,0.19008264462809918,0.1212582360726654,0.04750399175527949
forest_top_20pct,score-based,0.2,210,0.0550016954469245,2.3330138604092667,0.2750084772346225,0.24285714285714285,0.14101636808491408,0.06726212376752817
dr_top_20pct,score-based,0.2,210,0.06537415902494664,2.3433863239872887,0.3268707951247332,0.19523809523809524,0.13064390450689195,0.05688966018950603
oracle_threshold_positive,score-based,0.5580952380952381,586,0.1960180635318386,2.4740302284941804,0.3512269056457859,0.0,0.0,-0.07375424431738592
oracle_top_20pct,score-based,0.2,210,0.12226381921445267,2.400275984176795,0.6113190960722635,0.0,0.07375424431738592,0.0
DRPolicyTree,direct policy learner,0.9295238095238095,976,0.05648195652127897,2.334494121483621,0.06076439994604808,0.4456967213114754,0.13953610701055963,0.06578186269317371
DRPolicyForest,direct policy learner,0.7657142857142857,804,0.15038750964835237,2.4283996746106946,0.19640159842135568,0.30472636815920395,0.04563055388348622,-0.0281236904338997
