propensity_bucket,rows,treatment_rate,true_net_cate_mean,baseline_need_mean
"(-0.001, 0.1]",196,0.07653061224489796,-0.23084772483240987,-1.460867080933196
"(0.1, 0.2]",394,0.13959390862944163,-0.19024808670654283,-0.9668410110062612
"(0.2, 0.3]",374,0.22727272727272727,-0.09134168234820794,-0.5869625519982061
"(0.3, 0.4]",387,0.3488372093023256,-0.014906368286586272,-0.3481871928532376
"(0.4, 0.5]",391,0.4398976982097187,0.0504217293698528,-0.014973917365684184
"(0.5, 0.6]",316,0.5537974683544303,0.1426482230299851,0.24458449015158717
"(0.6, 0.7]",276,0.6485507246376812,0.23377185540163795,0.4926881321908272
"(0.7, 0.8]",308,0.7792207792207793,0.2953356110389221,0.8006775537583305
"(0.8, 0.9]",262,0.8587786259541985,0.3195048363870458,1.1599614985284876
"(0.9, 1.0]",96,0.9270833333333334,0.4183929415836403,1.814638242010801
