policy,high_need_segment,region_risk,rows,policy_treatment_rate,true_policy_gain,true_net_cate_mean,propensity_mean
observed_logging_policy,0,0,495,0.3292929292929293,0.03640022404387342,0.02912457114568491,0.3296616342143227
observed_logging_policy,0,1,247,0.340080971659919,-0.013358698051455245,-0.1325123013091355,0.3796440211672729
observed_logging_policy,1,0,204,0.7156862745098039,0.2797850738700406,0.3545582134855678,0.7066833563920459
observed_logging_policy,1,1,104,0.8365384615384616,0.11669285731342938,0.15171436825984333,0.7615894941852808
forest_top_20pct,0,0,495,0.23232323232323232,0.05811198233340492,0.02912457114568491,0.3296616342143227
forest_top_20pct,0,1,247,0.25101214574898784,0.021654803673921495,-0.1325123013091355,0.3796440211672729
forest_top_20pct,1,0,204,0.11764705882352941,0.08972828290076815,0.3545582134855678,0.7066833563920459
forest_top_20pct,1,1,104,0.08653846153846154,0.051279257163653655,0.15171436825984333,0.7615894941852808
forest_threshold_positive,0,0,495,0.6222222222222222,0.114839406748106,0.02912457114568491,0.3296616342143227
forest_threshold_positive,0,1,247,0.5910931174089069,0.016881236532393748,-0.1325123013091355,0.3796440211672729
forest_threshold_positive,1,0,204,0.7990196078431373,0.34774480285110043,0.3545582134855678,0.7066833563920459
forest_threshold_positive,1,1,104,0.6634615384615384,0.18124038560430253,0.15171436825984333,0.7615894941852808
DRPolicyTree,0,0,495,0.9232323232323232,0.02284009006738319,0.02912457114568491,0.3296616342143227
DRPolicyTree,0,1,247,0.9271255060728745,-0.12193602146753,-0.1325123013091355,0.3796440211672729
DRPolicyTree,1,0,204,0.946078431372549,0.32030643186565,0.3545582134855678,0.7066833563920459
DRPolicyTree,1,1,104,0.9326923076923077,0.1228451439026495,0.15171436825984333,0.7615894941852808
DRPolicyForest,0,0,495,0.7636363636363637,0.1139681664254412,0.02912457114568491,0.3296616342143227
DRPolicyForest,0,1,247,0.7004048582995951,0.011250084302004207,-0.1325123013091355,0.3796440211672729
DRPolicyForest,1,0,204,0.8774509803921569,0.3690633045743504,0.3545582134855678,0.7066833563920459
DRPolicyForest,1,1,104,0.7884615384615384,0.19315482366764192,0.15171436825984333,0.7615894941852808
oracle_top_20pct,0,0,495,0.14747474747474748,0.08544168904234695,0.02912457114568491,0.3296616342143227
oracle_top_20pct,0,1,247,0.06477732793522267,0.03354237119318474,-0.1325123013091355,0.3796440211672729
oracle_top_20pct,1,0,204,0.4803921568627451,0.3128080222443463,0.3545582134855678,0.7066833563920459
oracle_top_20pct,1,1,104,0.22115384615384615,0.13447665266009934,0.15171436825984333,0.7615894941852808
