need_bucket,friction_bucket,rows,true_cate,forest_cate,forest_ci_width,propensity_mean
very low,very low,99,0.30385021973199383,0.44026623672258897,0.6420056391224774,0.16152618415476167
very low,low,57,0.31467229338137465,0.4196653905486114,0.6259535869908344,0.21715362463021465
very low,mid,28,0.14923667001813062,0.31057090825518546,0.5273768198412793,0.24492060216970005
very low,high,28,0.058206659822713794,0.1606887952979819,0.6500121856668128,0.2619777262478731
very low,very high,12,-0.10670119658982419,0.04008984042831483,0.6295668226275771,0.3401415184416841
low,very low,52,0.37144746387316874,0.37711304187043587,0.5322511422693853,0.3057487590685703
low,low,61,0.21299947370092903,0.29529541875094517,0.47294912436382924,0.29311871374018106
low,mid,53,0.2687251290013361,0.29107615358731576,0.5046398464936822,0.3633851074553287
low,high,37,-0.037061258587116924,0.12480234109341411,0.6033257905308329,0.31863653318029084
low,very high,21,-0.14271494436027626,-0.013289822763699218,0.642722912118465,0.41537001115413213
mid,very low,38,0.5208449975365897,0.4339318294836772,0.46372226820468126,0.3875752653191098
mid,low,48,0.376236409292948,0.3596672767510996,0.48998573419423447,0.42023075442923646
mid,mid,59,0.33202889823879567,0.34084357872326565,0.5621444021849246,0.46716371096183174
mid,high,47,0.16969372929210674,0.2858245810679516,0.5259674345403799,0.4940520787486473
mid,very high,32,-0.13825560684239332,0.02538810185027733,0.5941763910819807,0.5158614348036615
high,very low,21,0.5863180408703977,0.45066797577069295,0.566818945531633,0.5065073504586265
high,low,36,0.5430976617007487,0.4641239992450671,0.5932707194118859,0.5404459403529425
high,mid,45,0.5872019485679884,0.45743315732549567,0.6116677788465548,0.5960224948904519
high,high,61,0.32701599238354595,0.3122648401868363,0.5270014995505421,0.5977254406599527
high,very high,61,0.04436833146976745,0.019824325866487403,0.5522500667560211,0.6341288041938027
very high,very low,14,0.9958063772171661,0.7240592438245896,0.7549869543322781,0.6875879731771912
very high,low,22,0.8341592576692964,0.6705316316363681,0.7909840616072341,0.678904731334864
very high,mid,39,0.7977750892412789,0.7024202977784917,0.8819769320013094,0.7610574201092751
very high,high,51,0.7089051522190584,0.5178377625216,0.7125341899658386,0.7861542035770487
very high,very high,98,0.3015866214326303,0.1566553645489966,0.6334921427004357,0.8199700676940067
