feature,treated_mean,control_mean,standardized_mean_difference,absolute_smd
baseline_need,0.28399332106796255,-0.2251641454507278,0.515539663234336,0.515539663234336
high_need_segment,0.39823008849557523,0.2131233595800525,0.41004719907160575,0.41004719907160575
support_risk,0.328023598820059,0.1979002624671916,0.2987698538024512,0.2987698538024512
prior_engagement,0.164211578406375,-0.12394660158119052,0.2869026230550054,0.2869026230550054
friction_score,-0.14933495591602713,0.1295374001591646,-0.27894541267236606,0.27894541267236606
content_affinity,0.11572191538332058,-0.09676584389617301,0.21220971279312742,0.21220971279312742
seasonality_index,0.11568479511618773,-0.07960440842594932,0.19758800652193448,0.19758800652193448
price_sensitivity,0.4049110434773535,0.4349853218543362,-0.14864672363102155,0.14864672363102155
region_risk,0.2424778761061947,0.29973753280839893,-0.12904111412192568,0.12904111412192568
account_tenure,53.52170913103104,54.86974972641712,-0.04352696892869449,0.04352696892869449
device_stability,0.6649075078558513,0.6636256754364863,0.0072099653058005355,0.0072099653058005355
