forest_cate_decile,rows,mean_estimated_cate,mean_true_cate,mean_lower_95,mean_upper_95,median_interval_width,row_level_coverage,support_risk_rate
1,126,-0.1330450006134959,-0.5805763634348792,-0.4004626781035351,0.13437267687654325,0.5252972283132177,0.24603174603174602,0.9841269841269841
2,126,0.058667359309921674,-0.3008999363250353,-0.19940708662610757,0.3167418052459508,0.4932753953265906,0.373015873015873,0.5714285714285714
3,126,0.1443142215938318,-0.1552237332172351,-0.08800110734916765,0.37662955053683117,0.45986197528255746,0.3412698412698413,0.2857142857142857
4,126,0.20202275090390884,-0.07751290148523989,-0.011124392800796738,0.4151698946086143,0.41225997494682254,0.3412698412698413,0.14285714285714285
5,126,0.26729878905130544,0.06983570693204982,0.060049169486960735,0.47454840861565,0.37994908163926455,0.49206349206349204,0.15873015873015872
6,126,0.33267277647879556,0.2411126790650386,0.1247787336060125,0.5405668193515786,0.39562719171000316,0.6825396825396826,0.1111111111111111
7,126,0.4122954982436129,0.3834963354502207,0.18151440796349766,0.6430765885237281,0.42106980758377927,0.7777777777777778,0.20634920634920634
8,126,0.48982896890872263,0.5271498888450084,0.26743782503096,0.7122201127864851,0.4155986008462957,0.7857142857142857,0.1111111111111111
9,126,0.5745963801226212,0.7295849277375541,0.3833283936569069,0.7658643665883352,0.361801652799171,0.6031746031746031,0.015873015873015872
10,126,0.6996705441148331,1.0928161289518348,0.5048490796371978,0.8944920085924684,0.38664006968459824,0.11904761904761904,0.0
