period,feature,coefficient
0,intercept,0.22441609474264934
0,baseline_need,-0.09736634189818008
0,user_quality,0.036944473188599426
0,friction_score,0.02847804970452203
0,price_sensitivity,-0.3138459872320933
0,region_risk,-0.1302725237194547
0,high_need_segment,0.06068866914578676
1,intercept,-0.00979363406415283
1,baseline_need,0.1450128557733539
1,user_quality,0.07736187876078707
1,friction_score,-0.0355423261717745
1,price_sensitivity,0.4101443426550356
1,region_risk,-0.08049189782186532
1,high_need_segment,0.09418235336277851
2,intercept,0.3923232036348774
2,baseline_need,0.10626992247857953
2,user_quality,0.06562412800971949
2,friction_score,-0.04421958495649777
2,price_sensitivity,-0.40623845058086366
2,region_risk,-0.08082852793757665
2,high_need_segment,0.013579314459255604
3,intercept,0.10009322358914577
3,baseline_need,0.1493293064220505
3,user_quality,0.025998177617754876
3,friction_score,-0.07306783262514804
3,price_sensitivity,0.5338383913839215
3,region_risk,0.0036148024453205117
3,high_need_segment,0.04430425347136422
