draw,policy,true_net_value_per_user
0,Treat none,0.0
0,Treat all,0.005883904193281711
0,LinearDML: effect > cost,0.17425166274901827
0,CausalForestDML: effect > cost,0.15422344104269858
0,DRLearner: effect > cost,0.16491233888138815
1,Treat none,0.0
1,Treat all,0.016817161712160227
1,LinearDML: effect > cost,0.18492280765845326
1,CausalForestDML: effect > cost,0.16789106567167852
1,DRLearner: effect > cost,0.1776352851390209
2,Treat none,0.0
2,Treat all,-0.008264552339612418
2,LinearDML: effect > cost,0.16666502307173411
2,CausalForestDML: effect > cost,0.15001990101710067
2,DRLearner: effect > cost,0.1583788703442466
3,Treat none,0.0
3,Treat all,-0.010773874593410088
3,LinearDML: effect > cost,0.17261294232583183
3,CausalForestDML: effect > cost,0.1495639798453559
3,DRLearner: effect > cost,0.16355062335271958
4,Treat none,0.0
4,Treat all,-0.004057878649318746
4,LinearDML: effect > cost,0.1666812495959419
4,CausalForestDML: effect > cost,0.15300224499901105
4,DRLearner: effect > cost,0.16422818519530058
5,Treat none,0.0
5,Treat all,0.007611746686173702
5,LinearDML: effect > cost,0.1726427254096716
5,CausalForestDML: effect > cost,0.15724199675194306
5,DRLearner: effect > cost,0.1676815078650455
6,Treat none,0.0
6,Treat all,-0.015092724220023494
6,LinearDML: effect > cost,0.15960397746611998
6,CausalForestDML: effect > cost,0.142208226230374
6,DRLearner: effect > cost,0.15384404234552718
7,Treat none,0.0
7,Treat all,-0.006764250567945523
7,LinearDML: effect > cost,0.16769144875317646
7,CausalForestDML: effect > cost,0.15362447566629597
7,DRLearner: effect > cost,0.16320496391627914
8,Treat none,0.0
8,Treat all,0.003636700485489562
8,LinearDML: effect > cost,0.17054571773573138
8,CausalForestDML: effect > cost,0.15263678847574913
8,DRLearner: effect > cost,0.16285865302840993
9,Treat none,0.0
9,Treat all,0.01570129588264324
9,LinearDML: effect > cost,0.1828685233403162
9,CausalForestDML: effect > cost,0.15956427933587727
9,DRLearner: effect > cost,0.17448609153664116
10,Treat none,0.0
10,Treat all,-0.0016299530021719
10,LinearDML: effect > cost,0.17566400574831822
10,CausalForestDML: effect > cost,0.159004792680311
