estimator,budget_share,users_treated,true_net_value_per_user,mean_true_cate_among_treated,precision_positive_net
LinearDML,0.1,165,0.0785663124989122,0.965663124989122,1.0
LinearDML,0.2,330,0.12216018475507842,0.790800923775392,0.9939393939393939
LinearDML,0.3,495,0.15069897881834676,0.6823299293944891,0.9636363636363636
LinearDML,0.4,660,0.16706272813272774,0.5976568203318193,0.9181818181818182
LinearDML,0.5,825,0.17153878679992673,0.5230775735998534,0.8569696969696969
CausalForestDML,0.1,165,0.07494444139397442,0.9294444139397442,1.0
CausalForestDML,0.2,330,0.11626167922132968,0.7613083961066485,0.9727272727272728
CausalForestDML,0.3,495,0.13959290387387738,0.6453096795795913,0.9131313131313131
CausalForestDML,0.4,660,0.1529671065952904,0.562417766488226,0.8681818181818182
CausalForestDML,0.5,825,0.15651554115415556,0.4930310823083111,0.8133333333333334
DRLearner,0.1,165,0.07323560258528358,0.9123560258528357,0.9939393939393939
DRLearner,0.2,330,0.11430738821207852,0.7515369410603925,0.9727272727272728
DRLearner,0.3,495,0.14321723391717772,0.6573907797239257,0.9434343434343434
DRLearner,0.4,660,0.15652393560402061,0.5713098390100515,0.8803030303030303
DRLearner,0.5,825,0.16389461160442,0.50778922320884,0.833939393939394
