estimated_decile,users,mean_estimated_cate,mean_true_cate,estimator
1,165,-0.8144945925076975,-0.5506488242015002,LinearDML
2,165,-0.37830194720602944,-0.28657097266454296,LinearDML
3,165,-0.13810543090961205,-0.10766931698851581,LinearDML
4,165,0.02922091905386907,0.018837234142907604,LinearDML
5,165,0.16723272393639535,0.12225837003747791,LinearDML
6,165,0.29030719152732964,0.22476058667199011,LinearDML
7,165,0.4427414914053348,0.34363749314380954,LinearDML
8,165,0.6105542761391518,0.46538794063268324,LinearDML
9,165,0.8048882006423842,0.6159387225616623,LinearDML
10,165,1.2949282656389955,0.965663124989122,LinearDML
1,165,-0.19882093257702307,-0.47691223188802506,CausalForestDML
2,165,-0.06169474113561406,-0.2106848218200296,CausalForestDML
3,165,0.0309075613252347,-0.09884509132946297,CausalForestDML
4,165,0.10720991202441606,0.02411486486746407,CausalForestDML
5,165,0.1827651841820595,0.10876622695359169,CausalForestDML
6,165,0.24932801744518526,0.2154843455886517,CausalForestDML
7,165,0.31555359763535457,0.3137420272141301,CausalForestDML
8,165,0.3933756919766975,0.413312246525477,CausalForestDML
9,165,0.488384015791526,0.5931723782735526,CausalForestDML
10,165,0.6402344294941895,0.9294444139397442,CausalForestDML
1,165,-0.6134152429886578,-0.5262891438356034,DRLearner
2,165,-0.3020031795473083,-0.22552653526052077,DRLearner
3,165,-0.12539027302863648,-0.10346026042304456,DRLearner
4,165,0.016210089057975063,-0.01363006029018956,DRLearner
5,165,0.13729993646327496,0.14155424209025222,DRLearner
6,165,0.2536642520689363,0.25370676000399395,DRLearner
7,165,0.37374921483717405,0.3130670168684287,DRLearner
8,165,0.5114314133045198,0.4690984570509921,DRLearner
9,165,0.7133035634607999,0.5907178562679494,DRLearner
10,165,1.1338660499716846,0.9123560258528357,DRLearner
