draw,analysis,true_net_value_per_user
0,Clean DRLearner,0.28997976181255514
0,Too-simple LinearDML,0.3016028366499747
0,Leaky CausalForestDML,0.02514765505033323
0,Post-treatment control,0.2933139295660774
0,Treat none,0.0
0,Treat all,0.21830514556520295
1,Clean DRLearner,0.27201627605152584
1,Too-simple LinearDML,0.2838441567236902
1,Leaky CausalForestDML,0.01638039578206445
1,Post-treatment control,0.2689850035132236
1,Treat none,0.0
1,Treat all,0.19279661121127786
2,Clean DRLearner,0.28111673078656907
2,Too-simple LinearDML,0.28982638754951123
2,Leaky CausalForestDML,0.023248387350146005
2,Post-treatment control,0.2812101618995998
2,Treat none,0.0
2,Treat all,0.2117450556872249
3,Clean DRLearner,0.27456828730324595
3,Too-simple LinearDML,0.2878932149460904
3,Leaky CausalForestDML,0.02229453843551727
3,Post-treatment control,0.2756625043277345
3,Treat none,0.0
3,Treat all,0.20655803848748006
4,Clean DRLearner,0.28832302392621917
4,Too-simple LinearDML,0.2972268581317093
4,Leaky CausalForestDML,0.01966933313767758
4,Post-treatment control,0.28722533921327387
4,Treat none,0.0
4,Treat all,0.21771993953151889
5,Clean DRLearner,0.28706709715956696
5,Too-simple LinearDML,0.29668416980156836
5,Leaky CausalForestDML,0.026876568910471733
5,Post-treatment control,0.2861057977629401
5,Treat none,0.0
5,Treat all,0.21867903896463095
6,Clean DRLearner,0.2899961075403358
6,Too-simple LinearDML,0.297696408847939
6,Leaky CausalForestDML,0.014180545545584308
6,Post-treatment control,0.28598833641647997
6,Treat none,0.0
6,Treat all,0.22011624989159348
7,Clean DRLearner,0.28637241499639376
7,Too-simple LinearDML,0.2957576514366756
7,Leaky CausalForestDML,0.020036668027600818
7,Post-treatment control,0.2833263205101775
7,Treat none,0.0
7,Treat all,0.2202599759501569
8,Clean DRLearner,0.2848208934746681
8,Too-simple LinearDML,0.29503612505506827
8,Leaky CausalForestDML,0.01591133858684246
8,Post-treatment control,0.2848438906120463
8,Treat none,0.0
8,Treat all,0.2147979866650392
9,Clean DRLearner,0.2915036713103421
9,Too-simple LinearDML,0.299610990488735
9,Leaky CausalForestDML,0.022374894382685896
9,Post-treatment control,0.28964908910252846
9,Treat none,0.0
9,Treat all,0.2213861088341793
10,Clean DRLearner,0.2893173639040233
10,Too-simple LinearDML,0.29853113038173457
10,Leaky CausalForestDML,0.02316105486736543
10,Post-treatment control,0.28474001100650714
10,Treat none,0.0
10,Treat all,0.21353367651638178
11,Clean DRLearner,0.2642088763114492
11,Too-simple LinearDML,0.27277853135431257
11,Leaky CausalForestDML,0.014147321593410863
11,Post-treatment control,0.26110426366858236
11,Treat none,0.0
11,Treat all,0.18661711128736616
12,Clean DRLearner,0.28342486449537924
12,Too-simple LinearDML,0.291931614650261
12,Leaky CausalForestDML,0.018649372692161468
12,Post-treatment control,0.28471459105155134
12,Treat none,0.0
12,Treat all,0.2128441766019967
13,Clean DRLearner,0.26597749939690546
13,Too-simple LinearDML,0.27639582275262
13,Leaky CausalForestDML,0.011535814031390488
13,Post-treatment control,0.26659909447261954
13,Treat none,0.0
13,Treat all,0.20156679684554002
14,Clean DRLearner,0.26254251232113
14,Too-simple LinearDML,0.2746965077240545
14,Leaky CausalForestDML,0.023029536502539576
14,Post-treatment control,0.2626293810427222
14,Treat none,0.0
14,Treat all,0.18551076670497613
15,Clean DRLearner,0.28024297484283783
15,Too-simple LinearDML,0.2876499404010196
15,Leaky CausalForestDML,0.025100780668459253
15,Post-treatment control,0.27927160378159005
15,Treat none,0.0
15,Treat all,0.2146104101982932
16,Clean DRLearner,0.29874977509998557
16,Too-simple LinearDML,0.3061560415069886
16,Leaky CausalForestDML,0.01787945334901998
16,Post-treatment control,0.2976222529581217
16,Treat none,0.0
16,Treat all,0.2308106939251102
17,Clean DRLearner,0.28545707876655896
17,Too-simple LinearDML,0.2976461857441804
17,Leaky CausalForestDML,0.025461473159954194
17,Post-treatment control,0.2847930597664358
17,Treat none,0.0
17,Treat all,0.22008915390982692
18,Clean DRLearner,0.27753005984313334
18,Too-simple LinearDML,0.2854619201210758
18,Leaky CausalForestDML,0.019779038156877933
18,Post-treatment control,0.2765692165145583
18,Treat none,0.0
18,Treat all,0.20661075788455205
19,Clean DRLearner,0.2902453892395448
19,Too-simple LinearDML,0.2967910515274614
19,Leaky CausalForestDML,0.016662181336587062
19,Post-treatment control,0.2864828106815808
19,Treat none,0.0
19,Treat all,0.21391966782230493
20,Clean DRLearner,0.2902739691756277
20,Too-simple LinearDML,0.3028238206168444
20,Leaky CausalForestDML,0.020038342574017542
20,Post-treatment control,0.2900336741277701
20,Treat none,0.0
20,Treat all,0.22384208630733418
21,Clean DRLearner,0.2790781319881627
21,Too-simple LinearDML,0.2883456130365925
21,Leaky CausalForestDML,0.013870925084179642
21,Post-treatment control,0.27630353645137123
21,Treat none,0.0
21,Treat all,0.20829051517264885
22,Clean DRLearner,0.2964351284545779
22,Too-simple LinearDML,0.30668779208216346
22,Leaky CausalForestDML,0.01252446530463792
22,Post-treatment control,0.29915717321719315
22,Treat none,0.0
22,Treat all,0.23313003205709198
23,Clean DRLearner,0.28631107526819144
23,Too-simple LinearDML,0.29677927066257126
23,Leaky CausalForestDML,0.013881558086680375
23,Post-treatment control,0.2848962399295283
23,Treat none,0.0
23,Treat all,0.21375050434416654
24,Clean DRLearner,0.28878814750514625
