segment,users,mean_true_cate,mean_reference_cate,reference_minus_true
random_segment_37,123,0.4217096330419419,0.41178671906202036,-0.009922913979921566
random_segment_05,119,0.4246211756805493,0.40068543801216355,-0.023935737668385748
random_segment_53,252,0.4292381890035198,0.3999988346154407,-0.029239354388079064
random_segment_34,178,0.4010979287785611,0.392139493312043,-0.008958435466518089
random_segment_60,527,0.4138433337727705,0.3880740018939497,-0.0257693318788208
random_segment_73,325,0.40109921135450854,0.38147559153989835,-0.019623619814610194
random_segment_38,467,0.3947980872060928,0.3798518085995702,-0.01494627860652259
random_segment_20,322,0.4000741559480708,0.3794136038473878,-0.02066055210068296
random_segment_01,259,0.38442192828012645,0.37779865131898016,-0.006623276961146285
random_segment_58,309,0.38354694206591067,0.3731609745747851,-0.01038596749112558
random_segment_46,436,0.3988281858511185,0.3727986628136768,-0.026029523037441715
random_segment_47,406,0.389551509495142,0.37087007223786245,-0.018681437257279554
random_segment_33,179,0.4248536716616857,0.3705868140619542,-0.05426685759973149
random_segment_11,242,0.39116197130214114,0.36998553113871474,-0.021176440163426402
random_segment_52,484,0.39064917650752573,0.3691153494441073,-0.021533827063418443
random_segment_80,200,0.41382090749287265,0.36697777477156657,-0.04684313272130608
random_segment_04,158,0.3847873890799447,0.3634517072224236,-0.021335681857521105
random_segment_48,291,0.413706934662435,0.36240656385274916,-0.05130037080968586
random_segment_18,334,0.3826551550096169,0.36177941557676946,-0.02087573943284743
random_segment_69,494,0.3861336166838384,0.36169473088008675,-0.024438885803751642
random_segment_32,437,0.37612741120209997,0.3606974179605201,-0.015429993241579898
random_segment_78,365,0.3645706869011403,0.35972227758648695,-0.004848409314653357
random_segment_56,453,0.4003701795556805,0.3583133251619189,-0.04205685439376161
random_segment_13,325,0.3920101543689736,0.35707292676869934,-0.034937227600274234
random_segment_61,165,0.37579197599915076,0.3556987146922696,-0.02009326130688116
random_segment_12,143,0.3432723191369564,0.3541672378769471,0.010894918739990711
random_segment_36,406,0.3807558322608069,0.3539372605234735,-0.026818571737333374
random_segment_03,143,0.35501330835846534,0.35388812069138537,-0.0011251876670799743
random_segment_27,422,0.41016208008574917,0.35223856984438545,-0.05792351024136372
random_segment_43,311,0.39435019685754114,0.3518617656310828,-0.042488431226458345
random_segment_62,300,0.37567230515730976,0.3506013451877856,-0.025070959969524187
random_segment_74,409,0.37950341545124483,0.35042128127938654,-0.029082134171858287
random_segment_54,462,0.3705947946407446,0.3503750813314375,-0.020219713309307052
random_segment_02,285,0.39618286468370206,0.35005989856142844,-0.04612296612227362
random_segment_63,498,0.3691578864446751,0.34915222428551995,-0.02000566215915517
random_segment_39,527,0.3594430147181599,0.34773075310006557,-0.011712261618094355
random_segment_10,353,0.3792079293716953,0.34745870636599646,-0.03174922300569882
random_segment_35,205,0.3732924867938963,0.3466922839369573,-0.026600202856939037
random_segment_15,505,0.3686041892375983,0.34608278516533697,-0.02252140407226133
random_segment_55,332,0.35685256920689956,0.34601756539968304,-0.010835003807216526
random_segment_14,463,0.3867730285165687,0.3435828657796058,-0.04319016273696291
random_segment_70,306,0.36935542410712807,0.3432655759368497,-0.026089848170278374
random_segment_75,371,0.3829167360693957,0.34120593203524135,-0.041710804034154336
random_segment_22,274,0.3737872277071456,0.3411692306949557,-0.032617997012189925
random_segment_44,494,0.37836414126051976,0.3409182936401229,-0.03744584762039688
random_segment_31,353,0.3764488933449893,0.34047200359974344,-0.03597688974524588
random_segment_51,132,0.35860768257697617,0.3403867528616848,-0.01822092971529138
random_segment_67,142,0.3520583735939715,0.3397600428720087,-0.012298330721962791
random_segment_72,303,0.3390927264674861,0.33913163975021576,3.891328272964678e-05
random_segment_49,405,0.36903433131852803,0.33850384396020083,-0.030530487358327196
random_segment_17,264,0.3691779938712325,0.3381026375122107,-0.03107535635902181
random_segment_41,241,0.36481730974647,0.3346228702413937,-0.030194439505076276
random_segment_21,192,0.35819494598214857,0.3332360223625446,-0.024958923619603945
random_segment_26,504,0.35593838105899767,0.3328548549442717,-0.023083526114725972
random_segment_50,457,0.3664916298094547,0.3327581619117647,-0.033733467897689995
random_segment_25,475,0.3567152943244917,0.3327451506797526,-0.02397014364473915
random_segment_76,409,0.3727943856837695,0.33113428786186844,-0.041660097821901054
random_segment_07,420,0.3564268799851492,0.3306131489491421,-0.025813731036007093
random_segment_24,469,0.3670436820701401,0.32951247655122473,-0.03753120551891537
random_segment_16,439,0.3681457457305705,0.3292363089614477,-0.03890943676912284
random_segment_28,254,0.35403319320699494,0.32807838314271615,-0.0259548100642788
random_segment_19,245,0.38254521594729496,0.3271274741766287,-0.05541774177066627
random_segment_09,392,0.3726286769391597,0.3254575092355722,-0.04717116770358748
random_segment_42,249,0.34430371526208015,0.32522404792148224,-0.019079667340597906
random_segment_57,192,0.3382037866758707,0.3249425712043366,-0.013261215471534082
random_segment_68,265,0.34788431904139244,0.32373520818930385,-0.024149110852088596
random_segment_29,264,0.3297916464849415,0.3191323124435323,-0.01065933404140923
random_segment_23,217,0.3725323218942131,0.31785872228667666,-0.05467359960753643
random_segment_77,419,0.3500118095292683,0.3165256710547149,-0.033486138474553395
random_segment_08,347,0.3639326958338014,0.31582034200817144,-0.04811235382562995
random_segment_45,326,0.3386617901263147,0.3138683269874888,-0.02479346313882591
random_segment_71,261,0.3502970909492396,0.3137494050187525,-0.03654768593048713
random_segment_40,160,0.35558241783225675,0.3121198037395028,-0.043462614092753926
random_segment_64,156,0.3388856990825548,0.3085455723817736,-0.030340126700781178
random_segment_66,433,0.3437461013363871,0.3077217150139459,-0.036024386322441204
random_segment_79,295,0.3501705070553279,0.30767826109255214,-0.04249224596277573
random_segment_06,423,0.35995621850136583,0.3053962498572472,-0.054559968644118606
random_segment_65,314,0.34126836277584155,0.3042792709701034,-0.03698909180573817
random_segment_30,458,0.3459781678903286,0.3010132649774466,-0.044964902912881966
random_segment_59,394,0.29925834420701686,0.2855765611772767,-0.013681783029740158
